,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,darnah,32.77,22.64,77.14,81,0,19.73,LY,1598569490
358,nizhniy kuranakh,58.84,125.49,49.32,61,0,0.67,RU,1598569491
359,luba,3.46,8.55,78.8,94,75,10.29,GQ,1598569492
360,murmashi,68.82,32.81,41.0,86,40,6.71,RU,1598569493
361,thinadhoo,0.53,72.93,82.87,67,100,6.17,MV,1598569495
362,sergeyevka,53.88,67.42,56.88,85,43,6.51,KZ,1598569496
363,renqiu,38.7,116.09,71.19,82,0,2.04,CN,1598569497
364,babusnica,43.06,22.41,62.6,72,30,2.24,RS,1598569498
365,pouembout,-21.13,164.9,69.57,65,73,4.9,NC,1598569499
366,srednekolymsk,67.45,153.68,47.03,75,97,6.24,RU,1598569500
367,chernihiv,51.0,32.0,58.96,93,20,10.29,UA,1598569501
368,ejura,7.39,-1.36,74.52,82,99,5.1,GH,1598569502
369,maputo,-25.97,32.59,66.0,87,0,7.0,MZ,1598569322
370,amazar,53.86,120.88,51.22,64,26,3.31,RU,1598569505
371,hervey bay,-25.3,152.85,59.0,72,0,8.05,AU,1598569506
372,hope,33.67,-93.59,75.0,71,100,20.0,US,1598569286
373,tuatapere,-46.13,167.68,45.0,72,70,11.01,NZ,1598569508
374,beringovskiy,63.05,179.32,52.52,79,82,9.6,RU,1598569509
375,bilma,18.69,12.92,93.34,31,68,8.3,NE,1598569510
376,qianguo,45.12,124.86,66.49,96,100,7.63,CN,1598569511
377,tigzirt,36.89,4.12,77.54,51,1,6.33,DZ,1598569512
378,chimbote,-9.09,-78.58,63.07,81,27,9.08,PE,1598569470
379,saint-augustin,51.23,-58.65,52.3,84,100,11.83,CA,1598569514
380,luchegorsk,46.48,134.26,69.04,96,100,6.62,RU,1598569516
